,Date,Away,Away_Goals,Home,Home_Goals,MOV,Away_B2B,Home_B2B,Away_ELO,Home_ELO,Away_Win_Prob,Home_Win_Prob,Away_Decimal_Odds,Home_Decimal_Odds
"22,3",2021-10-19,Seattle Kraken,2,New Jersey Devils,4,2,1,0,1479.6946747181707,1462.8111401880674,0.0,1.0,0.0,0.0
"22,4",2021-10-19,Dallas Stars,2,Pittsburgh Penguins,1,1,0,0,1477.664403332238,1535.8655065189569,1.0,0.0,0.0,0.0
"22,5",2021-10-19,Colorado Avalanche,3,Washington Capitals,6,3,0,0,1549.2556760473262,1542.604229012329,0.0,1.0,0.0,0.0
"22,6",2021-10-19,Columbus Blue Jackets,1,Detroit Red Wings,4,3,0,0,1451.278498347022,1460.3068588449992,0.0,1.0,0.0,0.0
"22,7",2021-10-19,New York Islanders,4,Chicago Blackhawks,1,3,0,0,1533.7552741896818,1447.0211917884521,1.0,0.0,0.0,0.0
"22,8",2021-10-19,Los Angeles Kings,1,Nashville Predators,2,1,0,0,1448.2849491117004,1514.608933137392,0.0,1.0,0.0,0.0
"22,9",2021-10-19,Winnipeg Jets,5,Minnesota Wild,6,1,0,0,1477.044993814939,1562.482631171232,0.0,1.0,0.0,0.0
"22,10",2021-10-19,Anaheim Ducks,5,Edmonton Oilers,6,1,1,0,1450.568023274957,1541.2660450286544,0.0,1.0,0.0,0.0
"23,0",2021-10-20,Boston Bruins,3,Philadelphia Flyers,6,3,0,0,1533.1201452563305,1479.713390431851,0.0,1.0,0.0,0.0
"23,1",2021-10-20,St. Louis Blues,3,Vegas Golden Knights,1,2,0,0,1512.9669827191158,1546.1467771642854,1.0,0.0,0.0,0.0
"24,0",2021-10-21,Carolina Hurricanes,0,Montréal Canadiens,0,0,0,0,1534.974071024255,1524.338485276843,0.4823010591348399,0.5176989408651601,2.0733937466233594,1.9316245815161133
"24,1",2021-10-21,San Jose Sharks,0,Ottawa Senators,1,1,0,0,1460.8517842051453,1500.8284736360495,0.0,1.0,0.0,0.0
"24,2",2021-10-21,Colorado Avalanche,0,Florida Panthers,0,0,0,0,1562.216140913711,1545.9482247731423,0.4903943193579896,0.5096056806420104,2.0391753340641707,1.962301516616106
"24,3",2021-10-21,Washington Capitals,2,New Jersey Devils,0,2,0,0,1549.3265608731363,1456.08880832726,1.0,0.0,0.0,0.0
"24,4",2021-10-21,New York Islanders,0,Columbus Blue Jackets,0,0,0,0,1541.52762789748,1442.0952561020642,0.606311876224551,0.39368812377544904,1.6493162004790494,2.5400817032783487
"24,5",2021-10-21,Calgary Flames,0,Detroit Red Wings,0,0,0,0,1486.0150445429372,1452.5229031169015,0.5150503206443552,0.4849496793556448,1.941557863218,2.0620696178801587
"24,6",2021-10-21,New York Rangers,0,Nashville Predators,0,0,0,0,1498.72892578367,1525.5450930589127,0.4284848839694815,0.5715151160305185,2.333804615780155,1.7497349972920062
"24,7",2021-10-21,Anaheim Ducks,0,Winnipeg Jets,0,0,0,0,1442.9768930537132,1500.0379988005302,0.38561291090423366,0.6143870890957663,2.593274166197066,1.6276383696014274
"24,8",2021-10-21,Vancouver Canucks,0,Chicago Blackhawks,0,0,0,0,1467.6595878991968,1471.1529819944997,0.46197277118480573,0.5380272288151943,2.1646297409159727,1.858641991413947
"24,9",2021-10-21,Edmonton Oilers,0,Arizona Coyotes,0,0,0,0,1524.6453623512457,1470.147049144132,0.5447924025747043,0.4552075974252957,1.835561574049072,2.196799890107525
"25,0",2021-10-22,San Jose Sharks,0,Toronto Maple Leafs,0,0,1,0,1449.8109709182972,1521.7383346071497,0.26494207945576387,0.7350579205442361,3.774409871222307,1.3604370105414292
