,0,Z_Score,Side_of_Mean,Log_of_Z_plus_One,New_ELO
Tampa Bay Lightning,1609.242910551991,1.7515732551199654,1,1.012172840866694,1563.1276521234515
Colorado Avalanche,1606.7530595165733,1.711651612051012,1,0.9975579001931392,1562.2161409137107
Vegas Golden Knights,1600.2144013096188,1.6068124167036713,1,0.9581281786624085,1559.7569702625942
Florida Panthers,1567.9240319947821,1.0890767851278667,1,0.7367222387815663,1545.9482247731423
Minnesota Wild,1559.9279500930018,0.9608696261082279,1,0.673388061632459,1541.9981702556054
New York Islanders,1559.0087497152615,0.9461313992556969,1,0.6658435042261347,1541.52762789748
Pittsburgh Penguins,1557.4624402201532,0.9213382630962506,1,0.6530219552689194,1540.7279677509364
Washington Capitals,1548.928860312171,0.784512996708489,1,0.5791455470308244,1536.1204106113955
Boston Bruins,1548.727668996742,0.7812871459371463,1,0.5773362186768354,1536.007565604796
Carolina Hurricanes,1546.9018874856008,0.7520130260107503,1,0.5607654274242035,1534.974071024255
Nashville Predators,1531.5703135084236,0.5061904385162858,1,0.40958357458123495,1525.5450930589127
Edmonton Oilers,1530.2248757323193,0.4846180287997689,1,0.3951575195045563,1524.6453623512457
Montreal Canadiens,1529.7703995119734,0.4773310717915425,1,0.39023712994867676,1524.3384852768427
Toronto Maple Leafs,1526.00808676005,0.4170070987266763,1,0.3485469703831342,1521.7383346071495
Winnipeg Jets,1500.0380103785164,0.000609448815400305,1,0.0006092631768919133,1500.0379988005302
New York Rangers,1498.715885044762,-0.02058917508448859,-1,0.020380083168291964,1498.7289257836699
Ottawa Senators,1485.2146014758716,-0.23706534813376068,-1,0.2127419199323546,1486.7316160132636
Calgary Flames,1484.3230438497758,-0.2513603580833951,-1,0.2242312460265022,1486.0150445429372
St. Louis Blues,1483.3817068222234,-0.2664535183917728,-1,0.2362204889505483,1485.2672940343534
Dallas Stars,1466.818343153002,-0.5320263109074619,-1,0.42659124539250515,1473.3941648592456
Philadelphia Flyers,1463.3306535314857,-0.5879470460136534,-1,0.46244201592993334,1471.1582078374126
Chicago Blackhawks,1463.322354822,-0.5880801054269702,-1,0.4625258057762098,1471.1529819944997
Arizona Coyotes,1461.711900378891,-0.6139017254926179,-1,0.47865467920375976,1470.147049144132
Vancouver Canucks,1457.6162512198628,-0.6795703303756248,-1,0.5185380049752988,1467.6595878991968
Los Angeles Kings,1429.2862638608199,-1.1338061972639386,-1,0.7579073321031548,1452.730493774311
Detroit Red Wings,1428.8425676274337,-1.1409203106820978,-1,0.7612357883086287,1452.5229031169017
San Jose Sharks,1422.9084570597367,-1.2360663417680784,-1,0.8047182246953227,1449.8109709182972
New Jersey Devils,1419.6687935513312,-1.2880102887778997,-1,0.8276825703509283,1448.378720253926
Anaheim Ducks,1406.7583294986039,-1.4950134108265618,-1,0.9142941042698226,1442.9768930537132
Columbus Blue Jackets,1404.5430125718567,-1.5305332432888996,-1,0.928430048629333,1442.0952561020642
Buffalo Sabres,1400.854189445165,-1.5896789022514195,-1,0.9515338920610883,1440.654305177491
