Date,Away,Away_Goals,Home,Home_Goals,MOV,Away_B2B,Home_B2B,Away_ELO,Home_ELO
2021-01-21,Montreal Canadiens,7,Vancouver Canucks,3,4,1,1,1509.8277978501906,1485.3675113964753
2021-01-22,Colorado Avalanche,3,Anaheim Ducks,2,1,1,0,1509.0908308066003,1475.5957064205393
2021-01-22,Vegas Golden Knights,2,Arizona Coyotes,5,3,0,0,1520.0559131235964,1493.8806143369354
2021-01-22,Detroit Red Wings,1,Chicago Blackhawks,4,3,0,0,1489.9631898223108,1479.538238987041
2021-01-22,Nashville Predators,0,Dallas Stars,7,7,0,0,1498.1469668783323,1507.6044184458433
2021-01-22,San Jose Sharks,1,Minnesota Wild,4,3,0,0,1494.9273527839264,1523.795266144542
2021-01-22,New York Rangers,3,Pittsburgh Penguins,4,1,0,0,1483.5803180195194,1508.6324218641878
2021-01-22,Edmonton Oilers,2,Toronto Maple Leafs,4,2,0,0,1484.5399852843873,1513.8102026537058
2021-01-22,Buffalo Sabres,3,Washington Capitals,4,1,0,0,1478.2833303835537,1507.7801161184032
2021-01-23,Philadelphia Flyers,1,Boston Bruins,6,5,0,0,1497.0626056644776,1508.6612079498584
2021-01-23,Tampa Bay Lightning,2,Columbus Blue Jackets,5,3,0,0,1514.014255085167,1487.2758781017692
2021-01-23,Los Angeles Kings,2,St. Louis Blues,4,2,0,0,1476.283853568531,1506.3704628153293
2021-01-23,Montreal Canadiens,5,Vancouver Canucks,2,3,0,0,1517.7935076295905,1477.4018016170753
2021-01-23,Ottawa Senators,3,Winnipeg Jets,6,3,0,0,1474.1800427529001,1524.780536688956
2021-01-24,Colorado Avalanche,1,Anaheim Ducks,3,2,0,0,1500.8499576254844,1483.836579601655
2021-01-24,Vegas Golden Knights,1,Arizona Coyotes,0,1,0,0,1527.98234231707,1485.9541851434617
2021-01-24,Toronto Maple Leafs,3,Calgary Flames,2,1,0,0,1522.19278096893,1499.1113450581606
2021-01-24,Detroit Red Wings,2,Chicago Blackhawks,6,4,0,0,1482.2512184715265,1487.2502103378254
2021-01-24,Nashville Predators,2,Dallas Stars,3,1,0,0,1490.8926789783675,1514.858706345808
2021-01-24,San Jose Sharks,5,Minnesota Wild,3,2,0,0,1504.118535616146,1514.6040833123225
2021-01-24,New York Islanders,0,New Jersey Devils,2,2,0,0,1507.7795107819654,1508.2204892180346
2021-01-24,New York Rangers,2,Pittsburgh Penguins,3,1,0,0,1476.6841663827222,1515.528573500985
2021-01-24,Los Angeles Kings,6,St. Louis Blues,3,3,1,1,1485.5028968548154,1497.151419529045
2021-01-24,Edmonton Oilers,4,Winnipeg Jets,3,1,0,1,1492.3904371179194,1516.930084855424
2021-01-24,Buffalo Sabres,4,Washington Capitals,3,1,0,0,1487.4888918545666,1498.57455464739
2021-01-25,Ottawa Senators,1,Vancouver Canucks,7,6,0,0,1466.78222436601,1484.7996200039654
2021-01-26,Anaheim Ducks,1,Arizona Coyotes,0,1,0,0,1492.413338667415,1477.3774260777018
2021-01-26,Pittsburgh Penguins,2,Boston Bruins,3,1,0,0,1507.89846715515,1516.2913142956934
2021-01-26,New York Rangers,2,Buffalo Sabres,3,1,0,0,1469.460874209448,1494.7121840278407
2021-01-26,Florida Panthers,4,Columbus Blue Jackets,3,1,0,0,1521.859868014337,1479.3607480970907
2021-01-26,Toronto Maple Leafs,4,Calgary Flames,3,1,0,0,1530.19009175813,1491.1140342689607
2021-01-26,San Jose Sharks,3,Colorado Avalanche,7,4,0,0,1496.5712760468564,1508.397217194774
2021-01-26,Detroit Red Wings,1,Dallas Stars,2,1,0,0,1475.5278369278972,1521.5820878894374
2021-01-26,Los Angeles Kings,2,Minnesota Wild,1,1,0,0,1494.6994137889546,1505.4075663781832
