,Date,Away,Away_Goals,Home,Home_Goals,MOV,Away_B2B,Home_B2B,Away_ELO,Home_ELO,Away_Win_Prob,Home_Win_Prob
"22,6",2021-10-19,Columbus Blue Jackets,0,Detroit Red Wings,0,0,0,0,1442.0952561020642,1452.5229031169015,0.45199791395385247,0.5480020860461475
"22,7",2021-10-19,New York Islanders,0,Chicago Blackhawks,0,0,0,0,1541.52762789748,1471.1529819944997,0.5669145373603379,0.4330854626396621
"22,8",2021-10-19,Los Angeles Kings,0,Nashville Predators,0,0,0,0,1452.730493774311,1525.5450930589127,0.36371908204988956,0.6362809179501104
"22,9",2021-10-19,Winnipeg Jets,0,Minnesota Wild,0,0,0,0,1500.0379988005302,1541.9981702556054,0.40690634391693636,0.5930936560830636
"22,10",2021-10-19,Anaheim Ducks,0,Edmonton Oilers,0,0,1,0,1442.9768930537132,1524.6453623512457,0.2515874866079516,0.7484125133920484
"23,0",2021-10-20,Boston Bruins,0,Philadelphia Flyers,0,0,0,0,1536.007565604796,1471.1582078374126,0.5592568364839765,0.4407431635160235
"23,1",2021-10-20,St. Louis Blues,0,Vegas Golden Knights,0,0,0,0,1485.2672940343534,1559.7569702625942,0.3614136226307916,0.6385863773692084
"24,0",2021-10-21,Carolina Hurricanes,0,Montréal Canadiens,0,0,0,0,1534.974071024255,1524.338485276843,0.4823010591348399,0.5176989408651601
"24,1",2021-10-21,San Jose Sharks,0,Ottawa Senators,0,0,0,0,1449.8109709182972,1486.7316160132636,0.4140660230202696,0.5859339769797304
"24,2",2021-10-21,Colorado Avalanche,0,Florida Panthers,0,0,0,0,1562.216140913711,1545.9482247731423,0.4903943193579896,0.5096056806420104
"24,3",2021-10-21,Washington Capitals,0,New Jersey Devils,0,0,0,0,1536.1204106113955,1448.378720253926,0.5906528208747331,0.40934717912526686
"24,4",2021-10-21,New York Islanders,0,Columbus Blue Jackets,0,0,0,0,1541.52762789748,1442.0952561020642,0.606311876224551,0.39368812377544904
"24,5",2021-10-21,Calgary Flames,0,Detroit Red Wings,0,0,0,0,1486.0150445429372,1452.5229031169015,0.5150503206443552,0.4849496793556448
"24,6",2021-10-21,New York Rangers,0,Nashville Predators,0,0,0,0,1498.72892578367,1525.5450930589127,0.4284848839694815,0.5715151160305185
"24,7",2021-10-21,Anaheim Ducks,0,Winnipeg Jets,0,0,0,0,1442.9768930537132,1500.0379988005302,0.38561291090423366,0.6143870890957663
"24,8",2021-10-21,Vancouver Canucks,0,Chicago Blackhawks,0,0,0,0,1467.6595878991968,1471.1529819944997,0.46197277118480573,0.5380272288151943
"24,9",2021-10-21,Edmonton Oilers,0,Arizona Coyotes,0,0,0,0,1524.6453623512457,1470.147049144132,0.5447924025747043,0.4552075974252957
"25,0",2021-10-22,San Jose Sharks,0,Toronto Maple Leafs,0,0,1,0,1449.8109709182972,1521.7383346071497,0.26494207945576387,0.7350579205442361
"25,1",2021-10-22,Boston Bruins,0,Buffalo Sabres,0,0,0,0,1536.007565604796,1440.654305177491,0.6008797624729795,0.3991202375270205
